SalePrice;YearBuilt;Size(sqf);Floor;N_FacilitiesNearBy(Hospital);N_FacilitiesNearBy(Mall);N_FacilitiesNearBy(ETC);N_SchoolNearBy(University);N_FacilitiesInApt
141592;2006;814;3;1;1 ;1 ;2 ;5
51327;1985;587;8;1;1 ;2 ;0 ;3
48672;1985;587;6;1;1 ;2 ;0 ;3
380530;2006;2056;8;1;1 ;0 ;2 ;5
221238;1993;1761;3;2;1 ;5 ;5 ;4
35840;1992;355;5;1;1 ;5 ;5 ;3
78318;1992;644;2;1;1 ;1 ;4 ;3
61946;1993;644;10;2;1 ;5 ;5 ;4
84070;1993;644;3;2;1 ;5 ;5 ;4
83185;1992;644;13;1;1 ;1 ;4 ;3
168141;1986;1377;4;1;0 ;1 ;1 ;4
153982;1986;914;11;1;0 ;1 ;1 ;4
200884;2007;868;18;1;1 ;0 ;2 ;10
60176;1985;587;7;1;1 ;2 ;0 ;3
93362;1986;910;7;1;1 ;1 ;2 ;3
185840;1993;1288;24;2;1 ;5 ;5 ;4
120796;1993;914;2;2;1 ;5 ;5 ;4
64601;1992;576;5;1;1 ;5 ;5 ;3
176991;1993;1451;1;2;1 ;5 ;5 ;4
55752;1992;576;1;1;1 ;5 ;5 ;3
38053;1992;355;3;1;1 ;5 ;5 ;3
92035;1993;644;20;2;1 ;5 ;5 ;4
181061;2007;868;18;1;1 ;0 ;2 ;10
165486;1986;1131;7;1;0 ;1 ;1 ;4
198230;2007;868;12;1;1 ;0 ;2 ;10
185840;2007;868;3;1;1 ;0 ;2 ;10
448672;2007;1643;39;1;1 ;0 ;2 ;10
371681;2007;1387;38;1;1 ;0 ;2 ;10
167964;2006;903;10;1;1 ;2 ;1 ;4
198230;2007;868;13;1;1 ;0 ;2 ;10
74336;1997;644;15;1;1 ;1 ;3 ;5
46902;1985;587;5;1;1 ;2 ;0 ;3
61946;1985;676;7;1;1 ;2 ;0 ;3
292035;2006;2056;2;1;1 ;0 ;2 ;5
221238;1993;1761;15;2;1 ;5 ;5 ;4
38495;1992;355;13;1;1 ;5 ;5 ;3
60619;1992;576;2;1;1 ;5 ;5 ;3
138053;1993;914;9;2;1 ;5 ;5 ;4
39823;1992;355;5;1;1 ;5 ;5 ;3
36283;1992;355;1;1;1 ;5 ;5 ;3
92920;1993;644;18;2;1 ;5 ;5 ;4
176991;1993;1451;17;2;1 ;5 ;5 ;4
134513;1993;914;16;2;1 ;5 ;5 ;4
77876;1992;644;7;1;1 ;1 ;4 ;3
85840;1993;644;17;2;1 ;5 ;5 ;4
141592;1992;1448;11;1;1 ;1 ;4 ;3
98230;1993;644;12;2;1 ;5 ;5 ;4
35398;1992;355;8;1;1 ;5 ;5 ;3
159292;1993;1288;15;2;1 ;5 ;5 ;4
95575;1993;644;14;2;1 ;5 ;5 ;4
147787;2005;743;8;2;1 ;5 ;4 ;7
340707;2007;1387;42;1;1 ;0 ;2 ;10
197345;2007;868;7;1;1 ;0 ;2 ;10
181415;2007;868;7;1;1 ;0 ;2 ;10
346017;2007;1387;28;1;1 ;0 ;2 ;10
55752;1985;587;9;1;1 ;2 ;0 ;3
347787;2007;1334;10;1;1 ;0 ;1 ;5
347787;2007;1334;17;1;1 ;0 ;1 ;5
383185;2007;1444;16;1;1 ;0 ;1 ;5
462831;2007;1690;22;1;1 ;0 ;1 ;5
407079;2007;1629;4;1;1 ;0 ;1 ;5
360176;2007;1483;4;1;1 ;0 ;1 ;5
315929;2007;1334;3;1;1 ;0 ;1 ;5
289380;2007;1273;3;1;1 ;0 ;1 ;5
348672;2007;1483;3;1;1 ;0 ;1 ;5
465486;2007;1690;25;1;1 ;0 ;1 ;5
393805;2007;1629;3;1;1 ;0 ;1 ;5
408849;2007;1690;3;1;1 ;0 ;1 ;5
348672;2007;1483;3;1;1 ;0 ;1 ;5
371681;2007;1483;9;1;1 ;0 ;1 ;5
326548;2007;1334;4;1;1 ;0 ;1 ;5
348672;2007;1483;4;1;1 ;0 ;1 ;5
371681;2007;1483;6;1;1 ;0 ;1 ;5
348672;2007;1483;5;1;1 ;0 ;1 ;5
371681;2007;1483;8;1;1 ;0 ;1 ;5
337168;2007;1483;3;1;1 ;0 ;1 ;5
360176;2007;1483;4;1;1 ;0 ;1 ;5
360176;2007;1483;6;1;1 ;0 ;1 ;5
95132;1986;910;15;1;1 ;1 ;2 ;3
110619;1993;914;1;2;1 ;5 ;5 ;4
